shapeID,shapeName,treatment
2480657B31989943834082,Cape Coast Metropolitan,0
2480657B89828953333594,Komenda-edina-eguafo-abirem Municipal,0
2480657B21856882152043,Banda,0
2480657B7942392054994,Sefwi-wiawso,1
2480657B44306962794399,Jaman North,1
2480657B2337940648547,Asunafo South,0
2480657B14065489870616,Tain,1
2480657B38880944597072,Nkoranza South,0
2480657B32008532681061,Sekyere Kumawu,0
2480657B39398526932747,Bole,0
2480657B37542209080123,Sekyere Afram Plains North,0
2480657B62831767110058,Asante Akim North,0
2480657B1767599566587,Asante Akim Central Municipal,0
2480657B78031413348906,Kintampo North Municipal,0
2480657B67032672358324,Asokore Mampong Municipal,1
2480657B7685147466351,Atebubu Amantin,0
2480657B94630675221037,Kwadaso Municipal,0
2480657B93484130612637,Kpandai,0
2480657B74771824828795,Ejisu Municipal,1
2480657B6503151283934,Nkwanta North,1
2480657B27736636353654,Biakoye,0
2480657B15365927336493,Wassa Amenfi East,1
2480657B60919857809422,Central Gonja,0
2480657B69717792501029,Tema West Municipal,0
2480657B85535261310615,Ashaiman Municipal,0
2480657B24672710685383,Pru East,0
2480657B63581433334614,Kpone Katamanso,0
2480657B27215926841583,Savelugu,1
2480657B1027184338147,Tamale Metropolitan,0
2480657B87566941811639,Sagnerigu,0
2480657B76285553918092,Karaga,0
2480657B30922977157044,North East Gonja,0
2480657B27395942809935,South Dayi,0
2480657B5704764806917,Tempane,0
2480657B19171272300465,Bolga  East,0
2480657B16330149254954,Yunyoo-nasuan,1
2480657B96271436146347,Nanton,1
2480657B24956698199939,Assin Fosu,0
2480657B15531990631346,Gomoa Central,0
2480657B32965552352903,Pru West,0
2480657B54527757245703,Berekum West,1
2480657B58897854519282,Ahafo Ano South West,0
2480657B37143689168174,Amansie South,0
2480657B14484334363928,Atwima Nwabiagya North,0
2480657B88279606337785,Adansi Akrofuom,0
2480657B92670413622569,Adansi North,0
2480657B26017273678273,Obuasi East,0
2480657B47912218033723,Afigya Kwabre North,0
2480657B53854728613413,Kumasi Metropolitan,1
2480657B70835976798974,Oforikrom Municipal,1
2480657B91188187265148,Asokwa  Municipal,1
2480657B10806173713075,Old Tafo Municipal,1
2480657B48966175900279,Suame Municipal,0
2480657B53382680619634,Juaben Municipal,0
2480657B99533750399286,Ablekuma Central Municipal,0
2480657B35357833911053,Korle Klottey Municipal,0
2480657B23952932171735,Ablekuma North Municipal,0
2480657B42813544323317,Ayawaso North Municipal,1
2480657B29980074443403,Ayawaso East Municipal,0
2480657B77934780741907,Okaikwei North Municipal,0
2480657B39319620746428,Ga North Municipal,1
2480657B6669757606157,Weija Gbawe Municipal,0
2480657B96734395613726,Krowor Municipal,1
2480657B34044169329977,Tema Metropolitan,0
2480657B20562210440652,East Gonja Municipal,0
2480657B12570528382412,Ablekuma West Municipal,1
2480657B92273702685271,Ayawaso Central Municipal,0
2480657B11720749290533,Accra Metropolis,1
2480657B74011824532465,Anloga,0
2480657B3368374944964,Sekondi Takoradi Metropolis,0
2480657B68408124911047,Kwahu South,0
2480657B68278489034036,Asene Akroso Manso,1
2480657B72113427832631,Upper Manya,1
2480657B77450065295387,Achiase,0
2480657B59311092791004,Okere,0
2480657B63323125119927,Yilo Krobo,0
2480657B65169023596143,Atiwa West,1
2480657B95199515281033,New Juaben North Municipal,1
2480657B42231307300111,Fanteakwa North,0
2480657B81401264659986,Birim North,1
2480657B37277876999120,Asuogyaman,1
2480657B54162505201867,Kwahu East,0
2480657B50723205918173,Kwahu West,0
2480657B54302337253194,Lower Manya,0
2480657B74727980909537,Nsawam Adoagyiri,0
2480657B26354408705676,Akwapem South,0
2480657B53762921220630,Denkyembour,1
2480657B54074930978119,Kwaebibirem,0
2480657B87039075961323,Kwahu Afram Plains South,0
2480657B6837938265733,Kwahu Afram Plains North,0
2480657B2570339807900,Suhum Municipal,1
2480657B11085167902059,Ayensuano,1
2480657B6434141016984,Abuakwa South,0
2480657B98999442599484,Upper West Akim,0
2480657B57614018833162,West Akim,0
2480657B32538733435540,Akyem Mansa,0
2480657B7526405183619,Atiwa East,0
2480657B86034404720136,New Juaben South Municipal,1
2480657B71012260699376,Birim South,0
2480657B42374646075926,Abuakwa North,0
2480657B16553972090858,Akwapem North,0
2480657B5172435396617,Fanteakwa South,0
2480657B80684943588404,Birim Central Municipal,0
