shapeName_adm2,shapeID_adm2,shapeName_adm1,shapeID_adm1,overlap_adm1,treatment,esa_lc_2015_rainfed_cropland,esa_lc_2015_mosaic_cropland,esa_lc_2015_forest,esa_lc_2015_urban,esa_lc_2015_irrigated_cropland,esa_lc_2015_grassland,esa_lc_2015_shrubland,esa_lc_2015_water_bodies,esa_lc_2015_bare_areas,esa_lc_2015_wetland,esa_lc_2015_sparse_vegetation,esa_lc_2020_rainfed_cropland,esa_lc_2020_mosaic_cropland,esa_lc_2020_forest,esa_lc_2020_urban,esa_lc_2020_irrigated_cropland,esa_lc_2020_grassland,esa_lc_2020_shrubland,esa_lc_2020_water_bodies,esa_lc_2020_bare_areas,esa_lc_2020_wetland,esa_lc_2020_sparse_vegetation
Yunyoo-nasuan,2480657B16330149254954,North East Region,69750345B94584643914501,0.9999999999999998,1,3809.0,1043.0,41.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,3817.0,1040.0,42.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0
Dormaa East,2480657B16380673722667,Bono Region,69750345B13833050062966,0.9992058973013914,0,5978.0,235.0,5.0,77.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5972.0,234.0,8.0,81.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Akwapem North,2480657B16553972090858,Eastern Region,69750345B54645730941985,0.9999999999999982,0,3422.0,31.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3418.0,31.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asante Akim Central Municipal,2480657B1767599566587,Ashanti Region,69750345B3295588325057,0.9999999999999993,0,3181.0,137.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3162.0,137.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamprugu Moagduri,2480657B18075285363234,North East Region,69750345B94584643914501,0.9504488003242865,0,1721.0,766.0,10483.0,1.0,2.0,0.0,10353.0,4.0,0.0,0.0,0.0,2085.0,735.0,11462.0,1.0,2.0,0.0,9041.0,4.0,0.0,0.0,0.0
Bolga  East,2480657B19171272300465,Upper East Region,69750345B7467317238909,1.0000000000000004,0,828.0,2.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,2.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Awutu Senya,2480657B19246099956301,Central Region,69750345B67040307067067,0.9728463267601203,0,2746.0,10.0,1.0,36.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2746.0,10.0,1.0,36.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0
Bolgatanga Municipal,2480657B19364380807593,Upper East Region,69750345B7467317238909,0.9999999999999992,1,1968.0,199.0,469.0,76.0,29.0,0.0,951.0,2.0,0.0,0.0,0.0,1956.0,188.0,659.0,100.0,29.0,0.0,760.0,2.0,0.0,0.0,0.0
Bodi,2480657B1960270363323,Western North Region,69750345B35244651716901,0.9999999999999986,1,6603.0,42.0,686.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6636.0,42.0,644.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarkwa Nsuaem,2480657B19905724513669,Western Region,69750345B38025690459934,1.0000000000000013,0,6084.0,1291.0,2120.0,390.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,5885.0,1134.0,2173.0,721.0,0.0,3.0,47.0,0.0,0.0,0.0,0.0
Awutu Senya East,2480657B20036139360918,Central Region,69750345B67040307067067,0.8503332339834001,0,828.0,141.0,0.0,249.0,0.0,3.0,21.0,39.0,0.0,0.0,0.0,716.0,132.0,0.0,369.0,0.0,3.0,22.0,39.0,0.0,0.0,0.0
