shapeName_adm2,shapeID_adm2,shapeName_adm1,shapeID_adm1,overlap_adm1,treatment,esa_lc_2015_rainfed_cropland,esa_lc_2015_mosaic_cropland,esa_lc_2015_forest,esa_lc_2015_urban,esa_lc_2015_irrigated_cropland,esa_lc_2015_grassland,esa_lc_2015_shrubland,esa_lc_2015_water_bodies,esa_lc_2015_bare_areas,esa_lc_2015_wetland,esa_lc_2015_sparse_vegetation,esa_lc_2020_rainfed_cropland,esa_lc_2020_mosaic_cropland,esa_lc_2020_forest,esa_lc_2020_urban,esa_lc_2020_irrigated_cropland,esa_lc_2020_grassland,esa_lc_2020_shrubland,esa_lc_2020_water_bodies,esa_lc_2020_bare_areas,esa_lc_2020_wetland,esa_lc_2020_sparse_vegetation
Ellembelle,2480657B39512912083476,Western Region,69750345B38025690459934,0.9991329044601949,0,5942.0,1790.0,2968.0,102.0,0.0,2.0,18.0,88.0,0.0,6.0,0.0,6113.0,1823.0,2752.0,112.0,0.0,2.0,19.0,88.0,0.0,7.0,0.0
Ada West,2480657B39710750100206,Greater Accra Region,69750345B46963341226980,0.9652699828584185,1,1930.0,726.0,18.0,137.0,5.0,48.0,383.0,186.0,174.0,2.0,0.0,1839.0,702.0,15.0,275.0,5.0,44.0,371.0,186.0,170.0,2.0,0.0
Kpando Municipal,2480657B39800519073464,Volta Region,69750345B58204744476950,0.9999999999999996,0,1120.0,849.0,453.0,48.0,0.0,0.0,57.0,967.0,1.0,0.0,0.0,1033.0,793.0,574.0,75.0,0.0,0.0,53.0,967.0,0.0,0.0,0.0
Suaman,2480657B41275879010095,Western North Region,69750345B35244651716901,0.9997825277512019,1,3641.0,39.0,749.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3621.0,37.0,761.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga South Municipal,2480657B41485746076017,Greater Accra Region,69750345B46963341226980,0.8956896599301523,0,1915.0,27.0,39.0,1.0,0.0,14.0,13.0,9.0,0.0,0.0,0.0,1915.0,27.0,39.0,1.0,0.0,14.0,13.0,9.0,0.0,0.0,0.0
Mion,2480657B42193515445029,Northern Region,69750345B37738609557703,0.9999277257038243,0,3988.0,3277.0,11521.0,0.0,0.0,0.0,11043.0,2.0,0.0,0.0,0.0,4151.0,2974.0,13335.0,0.0,3.0,0.0,9366.0,2.0,0.0,0.0,0.0
Fanteakwa North,2480657B42231307300111,Eastern Region,69750345B54645730941985,1.0000000000000029,0,5938.0,1055.0,952.0,22.0,7.0,22.0,171.0,1028.0,0.0,0.0,0.0,5945.0,1042.0,958.0,24.0,7.0,22.0,169.0,1028.0,0.0,0.0,0.0
Abuakwa North,2480657B42374646075926,Eastern Region,69750345B54645730941985,0.9999999999999989,0,1573.0,198.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,198.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayawaso North Municipal,2480657B42813544323317,Greater Accra Region,69750345B46963341226980,0.9999999999999999,1,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obuasi Municipal,2480657B43720081643569,Ashanti Region,69750345B3295588325057,0.9999999999999991,0,1081.0,69.0,40.0,460.0,0.0,0.0,21.0,12.0,0.0,0.0,0.0,1047.0,64.0,26.0,514.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0
Assin North,2480657B44214183650816,Central Region,69750345B67040307067067,0.9432487166131628,0,7909.0,124.0,27.0,39.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7899.0,121.0,37.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jaman North,2480657B44306962794399,Bono Region,69750345B13833050062966,0.855626432323662,1,1172.0,2622.0,7133.0,115.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,1170.0,2619.0,7130.0,123.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0
Twifo Hemang Lower Denkyira,2480657B44541331554905,Central Region,69750345B67040307067067,0.9826222532685496,0,5413.0,278.0,691.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5405.0,273.0,700.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Atwima Nwabiagya South,2480657B44972771575405,Ashanti Region,69750345B3295588325057,1.0000000000000042,0,3701.0,39.0,11.0,367.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3515.0,35.0,11.0,557.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Afadzato South,2480657B45105521184723,Volta Region,69750345B58204744476950,0.9994458061773894,0,2675.0,1726.0,1615.0,9.0,0.0,0.0,30.0,184.0,0.0,0.0,0.0,2604.0,1666.0,1738.0,17.0,0.0,0.0,30.0,184.0,0.0,0.0,0.0
Upper Denkyira East Municipal,2480657B45731574572143,Central Region,69750345B67040307067067,0.9650226936398636,1,4800.0,527.0,251.0,78.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4783.0,525.0,257.0,91.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Adansi Asokwa,2480657B45906044715427,Ashanti Region,69750345B3295588325057,0.9999999999999987,0,5193.0,282.0,1179.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5201.0,282.0,1171.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ho West,2480657B47242267083805,Volta Region,69750345B58204744476950,0.9992563533365433,0,5550.0,1412.0,4194.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5313.0,1255.0,4587.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Sekyere Central,2480657B47319682331963,Ashanti Region,69750345B3295588325057,0.9988780431997301,0,4700.0,2531.0,9604.0,32.0,0.0,0.0,938.0,0.0,0.0,0.0,0.0,4556.0,2387.0,10080.0,33.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0
Afigya Kwabre North,2480657B47912218033723,Ashanti Region,69750345B3295588325057,1.0000000000000013,0,2051.0,76.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.0,76.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suame Municipal,2480657B48966175900279,Ashanti Region,69750345B3295588325057,1.0000000000000007,0,84.0,0.0,2.0,260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,2.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effia Kwesimintsim Municipal,2480657B49181902253284,Western Region,69750345B38025690459934,1.0000000000000004,0,929.0,3.0,5.0,294.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,901.0,2.0,1.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Krachi East Municipal,2480657B4921606442052,Oti Region,69750345B12045161590865,0.9999824191292256,0,3780.0,7223.0,6899.0,40.0,4.0,24.0,1036.0,10902.0,51.0,4.0,2.0,3510.0,6766.0,7651.0,74.0,2.0,22.0,986.0,10896.0,52.0,4.0,2.0
Lawra,2480657B49975124320145,Upper West Region,69750345B48673213774244,0.9999932019670511,0,1154.0,3267.0,2.0,5.0,4.0,0.0,1526.0,0.0,0.0,0.0,0.0,1148.0,3220.0,6.0,9.0,4.0,0.0,1571.0,0.0,0.0,0.0,0.0
Kwahu West,2480657B50723205918173,Eastern Region,69750345B54645730941985,0.989384059755329,0,2885.0,1272.0,260.0,123.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2856.0,1272.0,260.0,152.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
Builsa South,2480657B50810028950834,Upper East Region,69750345B7467317238909,0.9960434871411263,1,1345.0,1069.0,4620.0,0.0,1.0,0.0,6796.0,0.0,0.0,0.0,0.0,1451.0,1164.0,5157.0,0.0,1.0,0.0,6058.0,0.0,0.0,0.0,0.0
Kintampo South,2480657B51466124780551,Bono East Region,69750345B43572680159989,0.9816663165679582,0,1099.0,2065.0,13299.0,46.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,972.0,1879.0,13610.0,49.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
Fanteakwa South,2480657B5172435396617,Eastern Region,69750345B54645730941985,0.9999999999999986,0,2419.0,487.0,157.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413.0,486.0,156.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wa East,2480657B52594370214383,Upper West Region,69750345B48673213774244,0.9906086696287943,0,392.0,1049.0,18744.0,0.0,0.0,0.0,26518.0,0.0,0.0,0.0,0.0,508.0,1247.0,19405.0,0.0,0.0,0.0,25543.0,0.0,0.0,0.0,0.0
Ketu North,2480657B52907018957478,Volta Region,69750345B58204744476950,0.9993080961455363,0,3432.0,708.0,28.0,56.0,342.0,0.0,125.0,36.0,0.0,0.0,0.0,3418.0,706.0,35.0,61.0,340.0,0.0,131.0,36.0,0.0,0.0,0.0
Juaben Municipal,2480657B53382680619634,Ashanti Region,69750345B3295588325057,0.9999999999999993,0,1624.0,27.0,322.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.0,27.0,322.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mfantseman Municipal,2480657B5340678211162,Central Region,69750345B67040307067067,0.9991496233778596,0,3022.0,62.0,79.0,187.0,0.0,0.0,12.0,67.0,0.0,4.0,0.0,3002.0,58.0,74.0,217.0,0.0,0.0,12.0,67.0,0.0,3.0,0.0
Denkyembour,2480657B53762921220630,Eastern Region,69750345B54645730941985,1.0000000000000009,1,4349.0,245.0,180.0,116.0,0.0,0.0,35.0,3.0,0.0,0.0,0.0,4345.0,251.0,170.0,125.0,0.0,0.0,34.0,3.0,0.0,0.0,0.0
Kumasi Metropolitan,2480657B53854728613413,Ashanti Region,69750345B3295588325057,1.0000000000000002,1,1.0,1.0,0.0,269.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwaebibirem,2480657B54074930978119,Eastern Region,69750345B54645730941985,1.0000000000000007,0,6813.0,628.0,1312.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6803.0,629.0,1315.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwahu East,2480657B54162505201867,Eastern Region,69750345B54645730941985,0.9065280764136512,0,4641.0,1415.0,188.0,50.0,0.0,2.0,651.0,0.0,0.0,0.0,0.0,4604.0,1377.0,298.0,52.0,0.0,2.0,614.0,0.0,0.0,0.0,0.0
Lower Manya,2480657B54302337253194,Eastern Region,69750345B54645730941985,0.9870677450733947,0,2573.0,369.0,190.0,57.0,0.0,0.0,36.0,255.0,8.0,0.0,0.0,2548.0,363.0,208.0,71.0,0.0,0.0,35.0,255.0,8.0,0.0,0.0
West Gonja,2480657B54445116346139,Savannah Region,69750345B26994269439887,0.9999999999999983,0,423.0,476.0,43298.0,21.0,0.0,0.0,6938.0,0.0,0.0,1.0,0.0,321.0,416.0,44274.0,32.0,0.0,0.0,6113.0,0.0,0.0,1.0,0.0
Berekum West,2480657B54527757245703,Bono Region,69750345B13833050062966,0.9999999999999977,1,4079.0,335.0,8.0,42.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,4074.0,335.0,8.0,47.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
Agona East,2480657B54607197552612,Central Region,69750345B67040307067067,1.0000000000000004,0,3590.0,3.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.0,3.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bekwai Municipal,2480657B55478680834493,Ashanti Region,69750345B3295588325057,0.9999999999999989,0,5674.0,98.0,44.0,163.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5650.0,93.0,50.0,186.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Sunyani Municipal,2480657B55840347650819,Bono Region,69750345B13833050062966,0.9815717365190352,0,4316.0,179.0,727.0,452.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4166.0,166.0,728.0,614.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Saboba,2480657B56307698722921,Northern Region,69750345B37738609557703,0.9286105623232714,0,6104.0,2227.0,3690.0,0.0,0.0,0.0,7179.0,12.0,0.0,0.0,0.0,6550.0,2185.0,3874.0,0.0,0.0,0.0,6591.0,12.0,0.0,0.0,0.0
Gushegu,2480657B56494255769768,Northern Region,69750345B37738609557703,0.9800389285239197,0,8352.0,4633.0,3710.0,8.0,34.0,0.0,12606.0,0.0,0.0,0.0,0.0,8746.0,4684.0,4674.0,12.0,54.0,0.0,11173.0,0.0,0.0,0.0,0.0
Juaboso,2480657B56579001772859,Western North Region,69750345B35244651716901,0.9971981162650225,0,8806.0,445.0,5685.0,39.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8789.0,448.0,5674.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asutifi South,2480657B57037677938762,Ahafo Region,69750345B39836988306125,0.8987723234331033,1,5414.0,1169.0,41.0,71.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,5411.0,1168.0,41.0,75.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
Tempane,2480657B5704764806917,Upper East Region,69750345B7467317238909,0.9980047696513069,0,4307.0,20.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,4307.0,20.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0
West Akim,2480657B57614018833162,Eastern Region,69750345B54645730941985,0.9999999999999977,0,4558.0,206.0,469.0,57.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4564.0,207.0,461.0,58.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Ada East,2480657B57636315193797,Greater Accra Region,69750345B46963341226980,0.8914082147246631,0,1479.0,434.0,167.0,152.0,22.0,15.0,427.0,316.0,236.0,2.0,36.0,1346.0,403.0,174.0,340.0,22.0,10.0,414.0,316.0,223.0,2.0,36.0
Nanumba North,2480657B57712569843933,Northern Region,69750345B37738609557703,0.9999301962105371,0,4194.0,5921.0,11210.0,18.0,0.0,0.0,3412.0,242.0,0.0,4.0,0.0,3872.0,4875.0,13078.0,30.0,0.0,0.0,2900.0,242.0,0.0,4.0,0.0
Bia West,2480657B58435284570364,Western North Region,69750345B35244651716901,0.9923847828404893,0,10189.0,182.0,3597.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10174.0,180.0,3600.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahafo Ano South West,2480657B58897854519282,Ashanti Region,69750345B3295588325057,0.9726223394460797,0,3782.0,553.0,1330.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3782.0,553.0,1330.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Okere,2480657B59311092791004,Eastern Region,69750345B54645730941985,0.9999999999999999,0,3410.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3410.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amansie West,2480657B59515552665793,Ashanti Region,69750345B3295588325057,1.0000000000000002,1,6427.0,97.0,403.0,168.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6350.0,92.0,439.0,214.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kwabre East,2480657B60556198830817,Ashanti Region,69750345B3295588325057,1.0000000000000004,1,1109.0,5.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,5.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La-nkwantanang-madina,2480657B60779202001283,Greater Accra Region,69750345B46963341226980,0.9952307308135755,0,462.0,11.0,8.0,376.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,301.0,0.0,8.0,549.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Central Gonja,2480657B60919857809422,Savannah Region,69750345B26994269439887,0.9945572300678813,0,4521.0,1307.0,54527.0,9.0,19.0,23.0,20105.0,1268.0,0.0,0.0,0.0,4251.0,1190.0,58162.0,28.0,19.0,22.0,16838.0,1269.0,0.0,0.0,0.0
Sekyere East,2480657B61321065662810,Ashanti Region,69750345B3295588325057,1.0000000000000016,0,2313.0,47.0,284.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.0,47.0,284.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asante Akim North,2480657B62831767110058,Ashanti Region,69750345B3295588325057,0.9904715173503982,0,7139.0,2042.0,1289.0,60.0,0.0,0.0,1895.0,20.0,0.0,0.0,0.0,7048.0,1971.0,1895.0,76.0,0.0,0.0,1435.0,20.0,0.0,0.0,0.0
Yilo Krobo,2480657B63323125119927,Eastern Region,69750345B54645730941985,0.9999999999999982,0,5065.0,355.0,49.0,34.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,5027.0,337.0,109.0,39.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
Kpone Katamanso,2480657B63581433334614,Greater Accra Region,69750345B46963341226980,0.9071285867775037,0,1611.0,405.0,7.0,609.0,0.0,1.0,83.0,35.0,0.0,0.0,0.0,1233.0,174.0,7.0,1267.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0
Nkoranza North,2480657B63998169387071,Bono East Region,69750345B43572680159989,0.9926955364550002,0,870.0,2203.0,12043.0,38.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,658.0,1833.0,12625.0,38.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
Abuakwa South,2480657B6434141016984,Eastern Region,69750345B54645730941985,1.0000000000000022,0,3300.0,436.0,161.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3303.0,433.0,160.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkwanta North,2480657B6503151283934,Oti Region,69750345B12045161590865,0.9845390014605989,1,3793.0,5701.0,1191.0,26.0,34.0,0.0,641.0,755.0,2.0,0.0,0.0,3738.0,5537.0,1452.0,36.0,28.0,0.0,591.0,761.0,0.0,0.0,0.0
Ahafo Ano North,2480657B6504340506710,Ashanti Region,69750345B3295588325057,0.8678918521969297,0,6311.0,171.0,33.0,44.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,6303.0,171.0,33.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0
Atiwa West,2480657B65169023596143,Eastern Region,69750345B54645730941985,0.9999999999999999,1,3807.0,491.0,2197.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3802.0,488.0,2191.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bongo,2480657B66034837272834,Upper East Region,69750345B7467317238909,0.997235212623742,1,4011.0,325.0,108.0,1.0,0.0,0.0,165.0,59.0,0.0,0.0,0.0,4003.0,305.0,115.0,4.0,0.0,0.0,183.0,59.0,0.0,0.0,0.0
Sekyere South,2480657B66267254954762,Ashanti Region,69750345B3295588325057,1.000000000000001,0,4310.0,241.0,34.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4306.0,241.0,34.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sawla-tuna-kalba,2480657B66384530229883,Savannah Region,69750345B26994269439887,0.9349586448751404,0,385.0,3569.0,27227.0,14.0,0.0,0.0,14639.0,8.0,0.0,0.0,0.0,398.0,4111.0,28186.0,17.0,0.0,0.0,13122.0,8.0,0.0,0.0,0.0
Shai Osudoku,2480657B66464396810782,Greater Accra Region,69750345B46963341226980,0.5540376157633558,1,5421.0,2038.0,67.0,24.0,0.0,0.0,2927.0,96.0,0.0,0.0,0.0,5244.0,1929.0,241.0,31.0,0.0,0.0,3032.0,96.0,0.0,0.0,0.0
Binduri,2480657B66646573774103,Upper East Region,69750345B7467317238909,0.9999270987332669,0,3423.0,497.0,161.0,0.0,0.0,0.0,347.0,7.0,0.0,0.0,0.0,3433.0,515.0,161.0,0.0,0.0,0.0,319.0,7.0,0.0,0.0,0.0
Weija Gbawe Municipal,2480657B6669757606157,Greater Accra Region,69750345B46963341226980,0.9624646277038069,0,637.0,147.0,30.0,568.0,0.0,29.0,59.0,391.0,18.0,0.0,0.0,299.0,77.0,26.0,997.0,0.0,28.0,43.0,391.0,18.0,0.0,0.0
Mampong Municipal,2480657B66784074859314,Ashanti Region,69750345B3295588325057,1.0000000000000004,1,4375.0,2048.0,924.0,91.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4364.0,2007.0,976.0,91.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Bawku Municipal,2480657B67017614982997,Upper East Region,69750345B7467317238909,0.9988216358212803,1,2721.0,75.0,0.0,59.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2691.0,71.0,0.0,84.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0
Asokore Mampong Municipal,2480657B67032672358324,Ashanti Region,69750345B3295588325057,0.9999999999999993,1,83.0,6.0,0.0,204.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,273.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Tano North Municipal,2480657B68079094729511,Ahafo Region,69750345B39836988306125,0.9112474733824496,0,7508.0,438.0,1213.0,82.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7469.0,438.0,1219.0,115.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Kasena Nankana East,2480657B68256913631937,Upper East Region,69750345B7467317238909,0.99961513417296,0,3659.0,555.0,2028.0,15.0,193.0,0.0,2202.0,50.0,0.0,0.0,0.0,3599.0,551.0,2964.0,24.0,194.0,0.0,1320.0,50.0,0.0,0.0,0.0
Asene Akroso Manso,2480657B68278489034036,Eastern Region,69750345B54645730941985,0.8791851419441203,1,4177.0,214.0,240.0,35.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4176.0,214.0,240.0,36.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Kwahu Afram Plains North,2480657B6837938265733,Eastern Region,69750345B54645730941985,0.9204929581910968,0,4194.0,2282.0,5858.0,24.0,0.0,3.0,1701.0,11258.0,24.0,0.0,2.0,3886.0,2101.0,6514.0,26.0,0.0,3.0,1559.0,11178.0,77.0,0.0,2.0
Kwahu South,2480657B68408124911047,Eastern Region,69750345B54645730941985,1.0000000000000016,0,4603.0,2035.0,550.0,58.0,0.0,3.0,513.0,1032.0,0.0,0.0,1.0,4597.0,2031.0,551.0,71.0,0.0,3.0,509.0,1032.0,0.0,0.0,1.0
North Gonja,2480657B69696031481498,Savannah Region,69750345B26994269439887,0.8596017993597246,0,1882.0,1691.0,40063.0,0.0,0.0,0.0,9040.0,14.0,0.0,0.0,0.0,1797.0,1138.0,41757.0,0.0,0.0,0.0,7984.0,14.0,0.0,0.0,0.0
Tema West Municipal,2480657B69717792501029,Greater Accra Region,69750345B46963341226980,0.999395483090907,0,17.0,10.0,0.0,516.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,546.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Jomoro,2480657B70421803893954,Western Region,69750345B38025690459934,0.9586984245821841,0,2884.0,1421.0,11251.0,111.0,0.0,0.0,12.0,654.0,0.0,6.0,0.0,2818.0,1355.0,11367.0,130.0,0.0,0.0,9.0,654.0,0.0,6.0,0.0
Kasena Nankana West,2480657B70680953475259,Upper East Region,69750345B7467317238909,0.9987145803663439,0,4020.0,334.0,1774.0,2.0,0.0,0.0,3653.0,85.0,0.0,0.0,0.0,4120.0,335.0,1843.0,5.0,0.0,0.0,3480.0,85.0,0.0,0.0,0.0
Oforikrom Municipal,2480657B70835976798974,Ashanti Region,69750345B3295588325057,0.9999999999999998,1,178.0,5.0,0.0,370.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,132.0,4.0,0.0,417.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Birim South,2480657B71012260699376,Eastern Region,69750345B54645730941985,0.9949899152710402,0,2818.0,209.0,508.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815.0,209.0,508.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prestea/huni Valley,2480657B71205229821948,Western Region,69750345B38025690459934,0.9924484560009025,0,12601.0,3356.0,3491.0,221.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0,12470.0,3317.0,3532.0,356.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0
Upper Manya,2480657B72113427832631,Eastern Region,69750345B54645730941985,1.0000000000000002,1,6464.0,695.0,273.0,12.0,0.0,0.0,71.0,1888.0,0.0,0.0,0.0,6452.0,684.0,289.0,21.0,0.0,0.0,69.0,1888.0,0.0,0.0,0.0
Upper Denkyira West,2480657B72362309510067,Central Region,69750345B67040307067067,0.9058444004423081,0,6127.0,122.0,194.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5836.0,97.0,400.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zabzugu,2480657B72410528378772,Northern Region,69750345B37738609557703,0.9999999999999984,0,3296.0,4525.0,3199.0,8.0,0.0,0.0,1182.0,38.0,0.0,0.0,0.0,3139.0,3928.0,4224.0,14.0,0.0,0.0,905.0,38.0,0.0,0.0,0.0
Aowin,2480657B72501418673064,Western North Region,69750345B35244651716901,0.994465677124828,0,15088.0,949.0,12233.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15070.0,932.0,12266.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Assin South,2480657B73071492710762,Central Region,69750345B67040307067067,0.9999999999999996,1,8326.0,327.0,3305.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8295.0,324.0,3339.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krachi Nchumuru,2480657B73751367479109,Oti Region,69750345B12045161590865,0.9998744848504327,0,3015.0,4641.0,1292.0,16.0,0.0,14.0,2282.0,1862.0,3.0,0.0,0.0,2887.0,4345.0,1853.0,22.0,0.0,14.0,2140.0,1862.0,2.0,0.0,0.0
Anloga,2480657B74011824532465,Volta Region,69750345B58204744476950,0.9852176059886927,0,184.0,276.0,1343.0,213.0,18.0,11.0,246.0,364.0,19.0,0.0,0.0,176.0,253.0,1324.0,275.0,12.0,4.0,226.0,388.0,16.0,0.0,0.0
Nabdam,2480657B74414618551217,Upper East Region,69750345B7467317238909,0.9998217016003743,1,1521.0,377.0,563.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,1484.0,338.0,652.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,0.0
Nsawam Adoagyiri,2480657B74727980909537,Eastern Region,69750345B54645730941985,0.999398942162467,0,1921.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ejisu Municipal,2480657B74771824828795,Ashanti Region,69750345B3295588325057,0.9999999999999961,1,4238.0,126.0,30.0,287.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4108.0,123.0,30.0,420.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Techiman North,2480657B75157144819377,Bono East Region,69750345B43572680159989,0.8880382485984626,0,1030.0,2216.0,1035.0,79.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1019.0,2196.0,1057.0,88.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
